",",IMAGE,,BOX NO,SKU,,NOT SHOW,,link,COLOR,ok,AZMEER STATUS CHECK,Cetagory,live status, ,SELL PRICE,HUZIAF AUDIT,PRICE,TOTAL INSTOCK,1016,IN STOCK,COST,SHIPPING CHINA,TOTAL INR,FREIGHT,T.COST,SELL PRICE,TOTAL COST,2026798.78
,,,1,tnv30,Done ,DN,ok,LIVE,black,38,,Semi formal,yes,ok,4465,21019-21082-21823-23517-24540-24776-24976-25120-26081-26420-26545-26686-26695-26771-26894-26904-27103,,,Sold Out,,145,8,1989,1200,3189,4465,,
,,,2,tnv86-red-43,Done ,DN,ok,FIX,red,43,ok,Sneaker,Yes ,ok,3100,20641-23667-26620,,,Damage SOLD OUT,,70,8,1014,1200,2214,3100,,
,,ok,3,ss-001-black-41,Done ,DN,ok,LIVE,black,41,ok,Sneaker,Yes ,ok,2153,21156-22886-24146-26170,,,In Stock,,18,8,338,1200,1538,2153,,
,,ok,4,3414678-black-40,Done ,DN,ok,FIX,Black ,40,ok,Semi fromal,Yes ,ok,4010,20589-21092-21337-21341-22500-23088-24119,,,In Stock,,120,8,1664,1200,2864,4010,,
,,,5,tnvi314-Gray-41,Done ,DN,ok,FIX,gold,41,ok,Semi formal,Yes ,ok,3245,26834,2999,,In Stock,,78,8,1118,1200,2318,3245,,
,,,6,SG3197,Done ,DN,ok,LIVE,blue,42,,Semi formal,Yes ,ok,3282,,3200,,Sold Out,,80,8,1144,1200,2344,3282,,
,,ok,7,SK0726US-RED-40,Done ,DN,ok,LIVE,red,40,ok,Semi formal,Yes ,ok,3282,,,,In Stock,,80,8,1144,1200,2344,3282,,
,,,8,3414192-white-41,Done ,DN,ok,FIX,white,41,ok,loafers,Yes,ok,2463,,,,Damage SOLD OUT,,35,8,559,1200,1759,2463,,
,,,9,GX30-blue-42,Not Show ,DN,ok,LIVE,blue,42,0 items show,formal,Yes ,ok,3282,20931-21500-22668-23226-24239,,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,,10,SK0923US-black-43,Done ,DN,ok,FIX,Black,43,ok,formal,Yes ,ok,3282,,,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,,11,sh297-blue-41,Done ,DN,ok,LIVE,Blue,41,ok,loafers,Yes ,ok,2845,13111-15940-16784-18946-19134-19187-19360-19724-20978-21649-24235,,,Damage SOLD OUT,,56,8,832,1200,2032,2845,,
,,,12,4091836,Done ,DN,ok,LIVE,Blue,42,ok,formal,Yes ,ok,3282,,,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,,13,3414254,,ok,,FIX,black,38,,Semi formal,Yes ,ok,3282,20246-21028-21051-21125-21417-22058-22176-22519-22681-24094-24389-24815-26341-26342,4499,G MISSING OUT,Sold Out,,80,8,1144,1200,2344,3282,,
